target_pair,attribute_pair,PES,p_value
"Eastern+China+Japan+Chinese, Western+United States+Canada+American","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence",-0.2438579355016768,1.0
"Eastern+China+Japan+Chinese, Western+United States+Canada+American","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, societal expectations+mathematics+engineering+proficiency",0.7710993360611936,0.0
"Eastern+China+Japan+Chinese, Western+United States+Canada+American","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",0.33592649211353376,8.699003234579095e-164
"Eastern+China+Japan+Chinese, Western+United States+Canada+American","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, individual personalities+freedom+lively+varied+individual achievement",0.5932254868714022,0.0
"Eastern+China+Japan+Chinese, Western+United States+Canada+American","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, societal expectations+mathematics+engineering+proficiency",0.45617860596063314,0.0
"Eastern+China+Japan+Chinese, Western+United States+Canada+American","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",0.7429577431718646,0.0
"Eastern+China+Japan+Chinese, Western+United States+Canada+American","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, individual personalities+freedom+lively+varied+individual achievement",0.9404221527111732,0.0
"Eastern+China+Japan+Chinese, Western+United States+Canada+American","societal expectations+mathematics+engineering+proficiency, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",0.04642381325227118,3.0174808065857065e-08
"Eastern+China+Japan+Chinese, Western+United States+Canada+American","societal expectations+mathematics+engineering+proficiency, individual personalities+freedom+lively+varied+individual achievement",0.11257197412324767,0.0
"Eastern+China+Japan+Chinese, Western+United States+Canada+American","structured+respectful environment+discipline+attentiveness+collective spirit+cohesive, individual personalities+freedom+lively+varied+individual achievement",0.1122416615801412,1.686884293733039e-05
"Eastern+China+Japan+Chinese, Indian","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence",-1.025317250995686,1.0
"Eastern+China+Japan+Chinese, Indian","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, societal expectations+mathematics+engineering+proficiency",1.0362179217465806,0.0
"Eastern+China+Japan+Chinese, Indian","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-0.4710127424920652,1.0
"Eastern+China+Japan+Chinese, Indian","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, individual personalities+freedom+lively+varied+individual achievement",0.36329545326873053,5.052905413068184e-15
"Eastern+China+Japan+Chinese, Indian","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, societal expectations+mathematics+engineering+proficiency",1.0995895844661852,0.0
"Eastern+China+Japan+Chinese, Indian","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",1.2621275422224605,0.0
"Eastern+China+Japan+Chinese, Indian","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, individual personalities+freedom+lively+varied+individual achievement",1.3290315416278506,0.0
"Eastern+China+Japan+Chinese, Indian","societal expectations+mathematics+engineering+proficiency, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-0.8030020622054472,1.0
"Eastern+China+Japan+Chinese, Indian","societal expectations+mathematics+engineering+proficiency, individual personalities+freedom+lively+varied+individual achievement",-0.774208918885399,1.0
"Eastern+China+Japan+Chinese, Indian","structured+respectful environment+discipline+attentiveness+collective spirit+cohesive, individual personalities+freedom+lively+varied+individual achievement",0.7555517870990176,2.778360078516219e-76
"Eastern+China+Japan+Chinese, African","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence",-0.2708014615188804,1.0
"Eastern+China+Japan+Chinese, African","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, societal expectations+mathematics+engineering+proficiency",0.7365167581517358,0.0
"Eastern+China+Japan+Chinese, African","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-1.1659936088511662,1.0
"Eastern+China+Japan+Chinese, African","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, individual personalities+freedom+lively+varied+individual achievement",-1.3401936034773227,1.0
"Eastern+China+Japan+Chinese, African","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, societal expectations+mathematics+engineering+proficiency",0.4856000328077107,0.0
"Eastern+China+Japan+Chinese, African","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-1.1979828559857504,1.0
"Eastern+China+Japan+Chinese, African","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, individual personalities+freedom+lively+varied+individual achievement",-0.2671694957317871,1.0
"Eastern+China+Japan+Chinese, African","societal expectations+mathematics+engineering+proficiency, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-0.9814486207704157,1.0
"Eastern+China+Japan+Chinese, African","societal expectations+mathematics+engineering+proficiency, individual personalities+freedom+lively+varied+individual achievement",-1.0611898767630874,1.0
"Eastern+China+Japan+Chinese, African","structured+respectful environment+discipline+attentiveness+collective spirit+cohesive, individual personalities+freedom+lively+varied+individual achievement",0.8824650569632958,0.0
"Eastern+China+Japan+Chinese, European","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence",-0.7581853833525188,1.0
"Eastern+China+Japan+Chinese, European","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, societal expectations+mathematics+engineering+proficiency",1.0998467690073286,0.0
"Eastern+China+Japan+Chinese, European","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-0.6880597706553992,1.0
"Eastern+China+Japan+Chinese, European","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, individual personalities+freedom+lively+varied+individual achievement",-0.33719537328122395,1.0
"Eastern+China+Japan+Chinese, European","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, societal expectations+mathematics+engineering+proficiency",0.9531156071088541,0.0
"Eastern+China+Japan+Chinese, European","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",0.4776949558058027,6.796526651208419e-53
"Eastern+China+Japan+Chinese, European","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, individual personalities+freedom+lively+varied+individual achievement",0.8693353999987393,0.0
"Eastern+China+Japan+Chinese, European","societal expectations+mathematics+engineering+proficiency, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-0.9162543985968705,1.0
"Eastern+China+Japan+Chinese, European","societal expectations+mathematics+engineering+proficiency, individual personalities+freedom+lively+varied+individual achievement",-0.9859010548487565,1.0
"Eastern+China+Japan+Chinese, European","structured+respectful environment+discipline+attentiveness+collective spirit+cohesive, individual personalities+freedom+lively+varied+individual achievement",0.7587005149654648,0.0
"Western+United States+Canada+American, Indian","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence",-0.7994784719358422,1.0
"Western+United States+Canada+American, Indian","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, societal expectations+mathematics+engineering+proficiency",0.9018729513178758,0.0
"Western+United States+Canada+American, Indian","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-0.49446581623508096,1.0
"Western+United States+Canada+American, Indian","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, individual personalities+freedom+lively+varied+individual achievement",-0.4188472341029859,1.0
"Western+United States+Canada+American, Indian","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, societal expectations+mathematics+engineering+proficiency",0.8288099975340794,0.0
"Western+United States+Canada+American, Indian","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-0.03802130726718998,0.9986724971180734
"Western+United States+Canada+American, Indian","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, individual personalities+freedom+lively+varied+individual achievement",0.4874685626167795,0.0
"Western+United States+Canada+American, Indian","societal expectations+mathematics+engineering+proficiency, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-0.5458639723878115,1.0
"Western+United States+Canada+American, Indian","societal expectations+mathematics+engineering+proficiency, individual personalities+freedom+lively+varied+individual achievement",-0.5139064405487787,1.0
"Western+United States+Canada+American, Indian","structured+respectful environment+discipline+attentiveness+collective spirit+cohesive, individual personalities+freedom+lively+varied+individual achievement",0.6073358943829186,0.0
"Western+United States+Canada+American, African","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence",0.005034166582428433,0.2946198042083573
"Western+United States+Canada+American, African","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, societal expectations+mathematics+engineering+proficiency",0.12158114550568759,0.009068644296337386
"Western+United States+Canada+American, African","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-0.7453570531669501,1.0
"Western+United States+Canada+American, African","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, individual personalities+freedom+lively+varied+individual achievement",-0.7870223321262931,1.0
"Western+United States+Canada+American, African","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, societal expectations+mathematics+engineering+proficiency",0.034756334030786484,1.2087806710984558e-20
"Western+United States+Canada+American, African","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-1.1423409620344034,1.0
"Western+United States+Canada+American, African","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, individual personalities+freedom+lively+varied+individual achievement",-1.2440295577073635,1.0
"Western+United States+Canada+American, African","societal expectations+mathematics+engineering+proficiency, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-0.6709205610917294,1.0
"Western+United States+Canada+American, African","societal expectations+mathematics+engineering+proficiency, individual personalities+freedom+lively+varied+individual achievement",-0.683601516319526,1.0
"Western+United States+Canada+American, African","structured+respectful environment+discipline+attentiveness+collective spirit+cohesive, individual personalities+freedom+lively+varied+individual achievement",0.6800237936599135,0.0
"Western+United States+Canada+American, European","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence",-0.5011305155894786,1.0
"Western+United States+Canada+American, European","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, societal expectations+mathematics+engineering+proficiency",1.0532388988534918,0.0
"Western+United States+Canada+American, European","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-0.5581475704766068,1.0
"Western+United States+Canada+American, European","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, individual personalities+freedom+lively+varied+individual achievement",-0.5365190057497411,1.0
"Western+United States+Canada+American, European","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, societal expectations+mathematics+engineering+proficiency",0.6358172152035528,0.0
"Western+United States+Canada+American, European","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-0.4653986579810716,1.0
"Western+United States+Canada+American, European","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, individual personalities+freedom+lively+varied+individual achievement",-0.23169087566961596,1.0
"Western+United States+Canada+American, European","societal expectations+mathematics+engineering+proficiency, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-0.6357516785004653,1.0
"Western+United States+Canada+American, European","societal expectations+mathematics+engineering+proficiency, individual personalities+freedom+lively+varied+individual achievement",-0.6419485823831833,1.0
"Western+United States+Canada+American, European","structured+respectful environment+discipline+attentiveness+collective spirit+cohesive, individual personalities+freedom+lively+varied+individual achievement",0.6114930233036937,0.0
"Indian, African","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence",1.4142135716081172,0.0
"Indian, African","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, societal expectations+mathematics+engineering+proficiency",-1.4142135432424385,1.0
"Indian, African","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-1.4142135834099174,1.0
"Indian, African","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, individual personalities+freedom+lively+varied+individual achievement",-1.4142135381698604,1.0
"Indian, African","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, societal expectations+mathematics+engineering+proficiency",-1.4142135785352943,1.0
"Indian, African","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-1.4142135505347284,1.0
"Indian, African","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, individual personalities+freedom+lively+varied+individual achievement",-1.4142135500898139,1.0
"Indian, African","societal expectations+mathematics+engineering+proficiency, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-1.4142135383970498,1.0
"Indian, African","societal expectations+mathematics+engineering+proficiency, individual personalities+freedom+lively+varied+individual achievement",-1.4142135381698606,1.0
"Indian, African","structured+respectful environment+discipline+attentiveness+collective spirit+cohesive, individual personalities+freedom+lively+varied+individual achievement",-0.2545616740753565,0.999996914044475
"Indian, European","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence",1.4142135508514353,0.0
"Indian, European","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, societal expectations+mathematics+engineering+proficiency",1.4142135381698608,0.0
"Indian, European","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-1.4142136296517174,1.0
"Indian, European","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, individual personalities+freedom+lively+varied+individual achievement",-1.4142135381698606,1.0
"Indian, European","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, societal expectations+mathematics+engineering+proficiency",-1.4142135381698606,1.0
"Indian, European","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-1.4142135663833215,1.0
"Indian, European","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, individual personalities+freedom+lively+varied+individual achievement",-1.4142135617009586,1.0
"Indian, European","societal expectations+mathematics+engineering+proficiency, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",-1.414213578279559,1.0
"Indian, European","societal expectations+mathematics+engineering+proficiency, individual personalities+freedom+lively+varied+individual achievement",-1.4142135381698604,1.0
"Indian, European","structured+respectful environment+discipline+attentiveness+collective spirit+cohesive, individual personalities+freedom+lively+varied+individual achievement",-0.424264048258944,0.9993518070520324
"African, European","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence",-1.4142135737794939,1.0
"African, European","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, societal expectations+mathematics+engineering+proficiency",1.4142135510449738,0.0
"African, European","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",1.414213553172263,0.0
"African, European","respect for authority+structured approach+attentively+detailed notes+diligence+academic rigor+strong work ethic+precision, individual personalities+freedom+lively+varied+individual achievement",1.4142135381698608,0.0
"African, European","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, societal expectations+mathematics+engineering+proficiency",1.4142135755055494,0.0
"African, European","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",1.4142135554314352,0.0
"African, European","interactive+open+independence+critical thinking+ownership+assertively+leadership+confidence, individual personalities+freedom+lively+varied+individual achievement",1.414213553740026,0.0
"African, European","societal expectations+mathematics+engineering+proficiency, structured+respectful environment+discipline+attentiveness+collective spirit+cohesive",0.9333745329666531,0.0
"African, European","societal expectations+mathematics+engineering+proficiency, individual personalities+freedom+lively+varied+individual achievement",0.1414194642814704,0.00443965028936704
"African, European","structured+respectful environment+discipline+attentiveness+collective spirit+cohesive, individual personalities+freedom+lively+varied+individual achievement",-0.48083238300088416,0.9999999384312541
MEAN_ALL,MEAN_ALL,-0.1273900741635828,0.5530616615445765
